"subject","version","assignmentId","guess1","guess2","guess3","cc1","cc2","cc3","experienced","instructions_time","total_time","stamp","id"
"A3J85WP15JFYW0","caus_thomas_boxes_v3","3TDXMTX3CBVDI5C8SPO4YH0JT9ZI6N","1","1","1","No","Yes","Yes","No","11877","57702","2017-10-06 16:49:44","1719"
"A3PV8HAHROZ3RY","caus_thomas_boxes_v3","3E1QT0TDFPA0MJVWL4L2IVWAZ4R8I1","1","0","1","Yes","Not sure","No","Yes","26372","73862","2017-10-06 16:50:04","1720"
"A1OY40VC86UZZ5","caus_thomas_boxes_v3","37Z929RLG998EHQGTEQBDTYKMF9TSY","0","1","1","No","Yes","Yes","No","31597","95159","2017-10-06 16:50:29","1721"
"A38ECJNH8AQKV4
","caus_thomas_boxes_v3","3UJ1CZ6IZHQ6TFFQSI8DADS66CS5SO","0","1","0","Not sure","Not sure","Yes","No","37632","110042","2017-10-06 16:50:37","1722"
"AP37QQ9AABSY9","caus_thomas_boxes_v3","34Q075JO1XE74OUVITNHXH96Z4401E","0","1","1","No","Yes","Yes","Yes","35926","90560","2017-10-06 16:50:42","1723"
"A3DSDNBIYC78DK
","caus_thomas_boxes_v3","3AQF3RZ558JT8EAIRHIJVKNRDH96FM","0","0","1","No","Yes","Yes","Not sure","46675","143445","2017-10-06 16:51:00","1724"
"A1JW11G1QUNMGN
","caus_thomas_boxes_v3","3YGXWBAF70I8QFMUHRZ3QGIAKD24CF","0","0","1","No","Yes","Yes","No","24993","164268","2017-10-06 16:51:16","1725"
"A15J1TJ75G35SR","caus_thomas_boxes_v3","34BBWHLWHACBCKREJ718WBZWHBQIWM","0","1","1","No","Yes","Yes","No","35689","125637","2017-10-06 16:51:40","1726"
"A3UVLFU06C28RE","caus_thomas_boxes_v3","3SKRO2GZ71S9HE1ZMMXZG1OFD2A1KL","0","0","1","No","Yes","Yes","No","49991","140670","2017-10-06 16:51:42","1727"
"A3N7R7P9HP2YB6","caus_thomas_boxes_v3","3D4CH1LGEAUM4X8B08RDXFE54XAG9Z","0","0","1","No","Yes","Yes","Not sure","26324","98727","2017-10-06 16:52:21","1728"
"A121AATQLM27K8","caus_thomas_boxes_v3","3XLBSAQ9Z4DIHVFNB3HI4Q35KXO7ZB","0","0","1","No","Not sure","Yes","Yes","25187","94310","2017-10-06 16:52:24","1729"
"A4UIXESOEZI05","caus_thomas_boxes_v3","3P59JYT76LLF9I9IZZB5MBLGOLFT20","0","1","1","No","Yes","Yes","Not sure","36804","99801","2017-10-06 16:52:27","1730"
