"subject","version","assignmentId","rating","question_ind","trial_ind","focal_high","alt_high","rt","stamp","id"
"A2T007HZK66WM","caus_thomas_as_v2","3B837J3LDOXVY2DOPPLGDEX2USDRSC","4","3","3","0","1","11754","2017-09-14 13:06:11","1761"
"A3105BXK85QUS7","caus_thomas_as_v2","3M0NZ3JDP1Z3UR14NA2L66P9PPP5ZI","2","3","2","0","1","10196","2017-09-14 13:06:12","1762"
"A1V0RDWOXP8N7","caus_thomas_as_v2","3OXV7EAXLERYS2UP7MHHUBYU6P1632","7","1","0","0","0","62360","2017-09-14 13:06:14","1763"
"A2VDGWD0BBMSP2","caus_thomas_as_v2","3GD6L00D3SY472127YAFVEGJY51M1Z","5","0","2","1","0","13755","2017-09-14 13:06:15","1764"
"A1FJAVZWHRQ4HH","caus_thomas_as_v2","3DQQ64TANGM3T6EIW2RS5808ZNLWP4","4","0","1","1","0","11310","2017-09-14 13:06:15","1765"
"ACVEFRSUAPSEQ","caus_thomas_as_v2","37C0GNLMHF4WAUWM0BNT7KK6X2Q6D0","8","2","2","1","1","11994","2017-09-14 13:06:15","1766"
"A15O8OTD2TSJ12","caus_thomas_as_v2","3LKC68YZ3A4L862HH2EDG8VIPIPOWF","8","1","0","0","0","41360","2017-09-14 13:06:16","1767"
"A2ZTXC0WB8DPJP","caus_thomas_as_v2","3X0H8UUIT1P06YUAOJVM0D5JM7SWSK","7","0","3","1","0","6130","2017-09-14 13:06:17","1768"
"A2OPV173ISAT0D","caus_thomas_as_v2","34MAJL3QP4OKDFQBOYO2XDEGAYV43F","6","1","0","0","0","70489","2017-09-14 13:06:17","1769"
"AELOYBHVZFDW9","caus_thomas_as_v2","34BBWHLWHACBCKREJ718WBZWD9QWIS","4","0","2","1","0","9303","2017-09-14 13:06:20","1770"
"AG3F3A5X321XS","caus_thomas_as_v2","37Q970SNZE975XE7RV617NFPQUK1SR","4","1","1","0","0","16709","2017-09-14 13:06:20","1771"
"A1ILOQZ922TXTW","caus_thomas_as_v2","3RSDURM96AN3LKKS2PT5WTMKWOJYEK","1","2","3","1","1","18616","2017-09-14 13:06:21","1772"
